Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
HY,True Zero - Costa Mesa,2050 Harbor Blvd,Harbor Blvd & Bay St,Costa Mesa,CA,92627,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.648692,-117.918614,2021-06-07,61974,2021-06-07 17:37:37 UTC,P,,,2016-01-21,http://m.cafcp.org/content/costa-mesa,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Hayward,391 W A St,W A St & Arbor Ave,Hayward,CA,94541,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.666686,-122.106352,2021-06-07,61975,2021-06-07 17:37:37 UTC,P,,,2016-05-15,http://m.cafcp.org/content/hayward,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - La Canada Flintridge,550 Foothill Blvd,Foothill Blvd & Woodleigh Ln,La Canada Flintridge,CA,91011,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.200017,-118.191164,2021-06-07,61976,2021-06-07 17:37:37 UTC,P,,,2016-02-15,http://m.cafcp.org/content/la-canada-flintridge,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Fremont,41700 Grimmer Blvd,Grimmer Blvd & Blacow Rd,Fremont,CA,94538,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.52217,-121.968501,2021-06-07,61977,2021-06-07 17:37:37 UTC,P,,,2017-09-07,http://m.cafcp.org/content/fremont,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Lake Forest,20731 Lake Forest Dr,Lake Forest Dr & Dimension Dr,Lake Forest,CA,92630,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.661543,-117.668467,2021-09-10,61978,2021-09-10 19:40:26 UTC,P,,,2016-03-18,http://m.cafcp.org/content/lake-forest,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Long Beach,3401 Long Beach Blvd,Long Beach Blvd & E Wardlow Rd,Long Beach,CA,90807,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.819222,-118.189733,2021-06-07,61979,2021-06-07 17:37:37 UTC,P,,,2016-02-29,http://m.cafcp.org/content/long-beach,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Hollywood Blvd,5700 Hollywood Blvd,Hollywood Blvd & N Wilton Pl,Los Angeles,CA,90028,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.101336,-118.314034,2021-09-10,61980,2021-09-10 19:40:26 UTC,P,,,2016-11-10,http://m.cafcp.org/content/hollywood,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Lincoln Blvd,8126 Lincoln Blvd,Lincoln Blvd & W 83rd St,Los Angeles,CA,90045,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.963119,-118.421458,2021-06-07,61981,2021-06-07 17:37:37 UTC,P,,,2016-10-01,http://m.cafcp.org/content/playa-del-rey,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Mill Valley,570 Redwood Hwy,Redwood Highway Frontage Rd & De Silva Island Dr,Mill Valley,CA,94941,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,GPS,37.888823,-122.5179817,2021-06-07,61982,2021-06-07 17:37:37 UTC,P,,,2016-07-14,http://m.cafcp.org/content/mill-valley,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Thousand Oaks,3102 E Thousand Oaks Blvd,Thousands Oaks Blvd & Hampshire Rd,Thousand Oaks,CA,91362,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.168683,-118.835986,2021-06-07,61983,2021-06-07 17:37:37 UTC,P,,,2018-04-02,http://m.cafcp.org/content/thousand-oaks,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Del Mar,3060 Carmel Valley Rd,Carmel Valley Rd & Exit 1B,San Diego,CA,92130,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,32.933578,-117.240016,2021-06-07,61984,2021-06-07 17:37:37 UTC,P,,,2016-12-15,http://m.cafcp.org/content/del-mar,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - San Jose,2101 N First St,N First St & E Brokwaw Rd,San Jose,CA,95131,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.37326,-121.918838,2021-06-07,61985,2021-06-07 17:37:37 UTC,P,,,2016-01-15,http://m.cafcp.org/content/san-jose,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Santa Barbara,150 S La Cumbre Rd,S La Cumbre Rd & Calle Real,Santa Barbara,CA,93105,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.438155,-119.751005,2021-06-07,61986,2021-06-07 17:37:37 UTC,P,,,2016-03-15,http://m.cafcp.org/content/santa-barbara,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Saratoga,12600 Saratoga Ave,Saratoga Ave & Bucknall Rd,Saratoga,CA,95070,,844-878-9376,E,,Public - Credit card at all times,"6am-9pm M-F, 7am-9pm Sat-Sun",A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.284189,-121.999331,2021-06-07,61987,2021-06-07 17:37:37 UTC,P,,,2016-03-15,http://m.cafcp.org/content/saratoga,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - South Pasadena,1200 Fair Oaks Ave,Fair Oaks Ave & Monterey Rd,South Pasadena,CA,91030,,844-878-9376,E,,Public - Credit card at all times,6am-10pm daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.111868,-118.149849,2021-06-07,61988,2021-06-07 17:37:37 UTC,P,,,2017-04-10,http://m.cafcp.org/content/south-pasadena,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - South San Francisco,248 S Airport Blvd,S Airport Blvd & Wondercolor Ln,South San Francisco,CA,94080,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.647933,-122.406006,2021-06-07,61989,2021-06-07 17:37:37 UTC,P,,,2016-02-15,http://m.cafcp.org/content/south-san-francisco,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Truckee,12105 Donner Pass Rd,Donner Pass Rd & Exit 184,Truckee,CA,96161,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.324902,-120.223537,2021-06-07,61990,2021-06-07 17:37:37 UTC,P,,,2016-07-14,http://m.cafcp.org/content/lake-tahoe-truckee,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Air Products and Chemicals Inc - Lawndale,15606 Inglewood Ave,,Lawndale,CA,90260,,800-224-2724,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-9,33.889394,-118.360962,2021-05-06,62002,2021-05-06 13:19:19 UTC,P,,,2017-06-26,http://m.cafcp.org/content/lawndale,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Iwatani - San Ramon,4475 Norris Canyon Rd,,San Ramon,CA,94583,,866-384-4829,E,,Public - Credit card at all times,24 hours daily,D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,37.7726,-121.969083,2021-07-14,62011,2021-07-14 18:51:43 UTC,P,,,2017-07-28,http://m.cafcp.org/content/san-ramon,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Iwatani - San Juan Capistrano,26572 Junipero Serra Rd,,San Juan Capistrano,CA,92675,,949-493-8283,E,,Public - Credit card at all times,24 hours daily; contact station for fueling assistance,D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,33.519722,-117.66697,2021-05-06,62017,2021-05-06 13:19:19 UTC,P,,,2016-01-28,http://m.cafcp.org/content/san-juan-capistrano,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Air Products and Chemicals Inc - Santa Monica,1819 Cloverfield Blvd,,Santa Monica,CA,90404,,800-224-2724,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-9,34.025325,-118.469612,2021-05-06,62018,2021-05-06 13:19:19 UTC,P,,,2016-02-15,http://m.cafcp.org/content/santa-monica-0,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Air Products and Chemicals Inc - Woodland Hills,5314 Topanga Canyon Blvd,,Woodland Hills,CA,91364,,800-224-2724,E,,Public - Credit card at all times,6am-10pm daily,A D Debit M V,,,,,,,,,,200-9,34.166383,-118.605407,2021-05-06,62022,2021-05-06 13:19:19 UTC,P,,,2016-10-01,http://m.cafcp.org/content/woodland-hills,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Ramos Oil Co - Iwatani - Shell,1515 S River Rd,At S River Rd and 15th St,West Sacramento,CA,95691,,916-371-2570,E,,Public - Credit card at all times,24 hours daily,A CFN D FleetOne FuelMan GasCard M V Voyager Wright_Exp,,,,,,,,,,200-9,38.569427,-121.521377,2021-05-06,64018,2021-05-06 13:19:19 UTC,P,,,2014-10-08,http://cafcp.org/content/west-sacramento,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,SERVCO,2850 Pukoloa St,,Honolulu,HI,96819,,808-687-7600,E,,Public,24 hours daily,Cash D Debit M V,,,,,,,,,,200-8,21.343935,-157.897062,2020-03-03,82474,2021-03-04 18:40:37 UTC,P,,,2018-07-26,,,,,,US,,,,Public,true,public,,,CAR_DEALER,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Shell - San Francisco 3rd St,551 3rd St,,San Francisco,CA,94107,,888-380-5259,E,,Public - Credit card at all times,7am-10pm daily,A D Debit M V,,,,,,,,,,200-9,37.780625,-122.394922,2021-05-06,88307,2021-05-06 13:19:19 UTC,P,,,2019-11-06,http://m.cafcp.org/content/san-francisco-third-st,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
HY,Shell - San Francisco Mission St,3550 Mission St,,San Francisco,CA,94110,,888-380-5259,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-9,37.740188,-122.423654,2021-05-06,88308,2021-05-06 13:19:19 UTC,P,,,2020-02-14,http://m.cafcp.org/content/san-francisco-mission-st,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
HY,True Zero - Sunnyvale,1296 Sunnyvale Saratoga Rd,,Sunnyvale,CA,94087,,,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.352308,-122.03189,2021-09-10,88313,2021-09-10 19:40:26 UTC,P,,,2021-02-11,http://cafcp.org/content/sunnyvale,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,FUEL_RESELLER,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Oakland,350 Grand Ave,,Oakland,CA,94610,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.809238,-122.255662,2021-09-10,88315,2021-09-10 19:40:26 UTC,P,,,2019-09-20,http://m.cafcp.org/content/oakland-grand-ave,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Shell - Sacramento,3510 Fair Oaks Blvd,,Sacramento,CA,95864,,888-380-5259,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-9,38.573852,-121.382464,2021-05-06,88318,2021-05-06 13:19:19 UTC,P,,,2019-05-22,http://m.cafcp.org/content/sacramento,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
HY,True Zero - Campbell - East Hamilton Ave,337 E Hamilton Ave,,Campbell,CA,95008,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,,,,,,200-9,37.29457,-121.943848,2021-06-07,88319,2021-06-07 17:37:37 UTC,P,,,2021-05-24,http://cafcp.org/content/campbell-east-hamilton-ave,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,Shell - Citrus Heights,6141 Greenback Ln,,Citrus Heights,CA,95621,,888-380-5259,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-9,38.679592,-121.320589,2021-05-06,88320,2021-05-06 13:19:19 UTC,P,,,2018-12-19,http://m.cafcp.org/content/citrus-heights,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
HY,True Zero - Studio City,3780 Cahuenga Blvd,,Studio City,CA,91604,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,,,,,,200-9,34.137006,-118.362721,2021-06-07,91992,2021-06-07 17:37:37 UTC,P,,,2021-04-26,https://cafcp.org/content/studio-city,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Mission Hills,15544 San Fernando Mission Blvd,,Mission Hills,CA,91345,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,,,,,,200-9,34.271547,-118.471205,2021-06-07,97045,2021-06-07 17:37:37 UTC,P,,,2020-10-26,http://m.cafcp.org/content/mission-hills,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Fountain Valley,18480 Brookhurst St,,Fountain Valley,CA,92708,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,,,,,,200-9,33.694427,-117.953748,2021-06-07,122915,2021-06-07 17:37:37 UTC,P,,,2020-07-03,http://cafcp.org/content/fountain-valley-0,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,South Coast Air Quality Management District - Diamond Bar,21865 Copley Dr,Off Hwy 60; take the Grand Ave Exit and turn right onto Golden Spring Drive; or take the Brea Canyon Exit and turn left onto Golden Spring Drive.  Head toward the SCQMD and turn onto Copley Drive at the stop light.  Turn at the first entrance on the right.  If gate is closed press button to open; security staff present 24-hours daily.,Diamond Bar,CA,91765,,909-396-2638,E,,Public - Credit card at all times,24 hours daily; gate is open from 7am-6pm T-F; customers can fuel after the gate has closed by pushing the call button to open the gate,A D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.001326,-117.830482,2020-03-03,153941,2021-07-02 20:25:41 UTC,SG,,,2015-03-25,http://m.cafcp.org/content/diamond-bar,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,OFFICE_BLDG,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Concord,605 Contra Costa Blvd,,Concord,CA,94523,,844-878-9376,E,,Public - Credit card after hours,24 hours daily,A D M V,,,,,,,,,,200-9,37.975021,-122.064137,2021-06-07,166214,2021-06-07 17:37:37 UTC,P,,,2021-05-28,http://cafcp.org/content/concord,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,true,public,CREDIT_CARD_AFTER_HOURS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,
HY,True Zero - Placentia,313 W Orangethorpe Ave,,Placentia,CA,92870,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,,,,,,200-9,33.862046,-117.876163,2021-06-07,168371,2021-06-07 17:37:37 UTC,P,,,2021-05-07,http://cafcp.org/content/plancentia,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
HY,True Zero - Aliso Viejo,26813 La Paz Rd,,Aliso Viejo,CA,92656,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,,,,,,200-9,33.573259,-117.707583,2020-12-03,168372,2021-08-02 21:21:47 UTC,P,,,2021-06-22,http://cafcp.org/content/aliso-viejo,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,
