id,name,address,d_meters,id_nearest,name_nearest,address_nearest
15598,Burbank (upgrade),"145 W Verdugo Avenue, Burbank, CA 91510",7708.286534250297,15628,Studio City,"3780 Cahuenga Boulevard, Studio City, CA 91604"
15628,Studio City,"3780 Cahuenga Boulevard, Studio City, CA 91604",7708.286534250296,15598,Burbank (upgrade),"145 W Verdugo Avenue, Burbank, CA 91510"
15630,Redwood City,"503 Whipple Avenue, Redwood City, CA 94063",13060.077378476299,15026,Palo Alto,"3601 El Camino Real, Palo Alto, CA 94306"
15631,Mission Hills,"15544 San Fernando Mission Boulevard, Mission Hills, CA 91345",15409.02503263361,15479,Sherman Oaks,"14478 Ventura Boulevard, Sherman Oaks, CA 91423"
15846,Culver City,"11284 Venice Boulevard, Culver City, CA 90230",6127.085502772737,14996,Santa Monica,"1819 Cloverfield Blvd., Santa Monica, CA 90404"
15847,Laguna Beach,"104 North Coast Highway, Laguna Beach, CA 92651",18345.113540678987,15005,San Juan Capistrano,"26572 Junipero Serra Road, San Juan Capistrano, CA 92675"
15848,San Jose - Bernal Road,"101 Bernal Road, San Jose, CA 95119",18443.780159762566,15022,Campbell,"2855 Winchester Boulevard, Campbell, CA 95008"
15863,Wilmington,"Wilmington, CA",7767.648847151814,15864,Long Beach - Port of Long Beach,"925 Harbor Plaza, Long Beach, CA 90801"
15864,Long Beach - Port of Long Beach,"925 Harbor Plaza, Long Beach, CA 90801",7158.086679101265,15040,Long Beach,"3401 Long Beach Blvd, Long Beach, CA 90807"
15865,Ontario,"Ontario, CA",3399.251544813706,15043,Ontario,"1850 Holt Boulevard, Ontario, CA 91761"
15866,Emeryville - AC Transit Bus Yard,"1172 45th St, Emeryville, CA 94608",4524.690530868333,15483,Oakland - Grand Ave,"350 Grand Avenue, Oakland, CA 94610"
15867,Santa Ana - OCTA Bus Yard,"4301 E MacArthur Blvd, Santa Ana, CA 92704",5983.30020870868,15484,Fountain Valley,"18480 Brookhurst Street, Fountain Valley, CA 92708"
15912,Concord,"605 Contra Costa Boulevard, Concord, CA 94523",26843.915373169835,15030,San Ramon,"4475 Norris Canyon Road, San Ramon, CA 94583"
